Date,Price,Open_1,High_1,Low_1
"Apr 04, 2017",1141.8,1097.4,1157.9,1095.6
"Apr 05, 2017",1129.9,1147.6,1161.2,1122.2
"Apr 06, 2017",1188.7,1141.8,1143.8,1110.1
"Apr 07, 2017",1190.5,1129.9,1201.6,1130.5
"Apr 08, 2017",1180.8,1188.7,1201.2,1173.2
"Apr 09, 2017",1204.3,1190.5,1198.2,1166.7
"Apr 10, 2017",1206.7,1180.8,1215.1,1174
"Apr 11, 2017",1220.7,1204.3,1214.9,1194.8
"Apr 12, 2017",1212.5,1206.7,1229.6,1195.8
"Apr 13, 2017",1176.2,1220.7,1225.5,1207.4
"Apr 14, 2017",1177.3,1212.5,1218.7,1150.3
"Apr 15, 2017",1177,1176.2,1195.4,1162.2
"Apr 16, 2017",1176.8,1177.3,1194.8,841.5
"Apr 17, 2017",1194,1177,1188,1166.7
"Apr 18, 2017",1206.1,1176.8,1203,1172.8
"Apr 19, 2017",1215.2,1194,1213.9,1191.1
"Apr 20, 2017",1238.1,1206.1,1218.2,1194.1
"Apr 21, 2017",1249.6,1215.2,1246.6,1210.7
"Apr 22, 2017",1240.9,1238.1,1257,1235.6
"Apr 23, 2017",1249.1,1249.6,1257,1215.8
"Apr 24, 2017",1248.2,1240.9,1256.2,1223.1
"Apr 25, 2017",1264.3,1249.1,1256.4,1234.9
"Apr 26, 2017",1286.6,1248.2,1272.6,1244.2
"Apr 27, 2017",1332.9,1264.3,1309.2,1263
"Apr 28, 2017",1329.6,1286.6,1346.8,1285.3
"Apr 29, 2017",1336.3,1332.9,1356.2,1287.6
"Apr 30, 2017",1351.9,1329.6,1343.7,1314.2
"May 01, 2017",1415.8,1336.3,1358.9,1309.7
"May 02, 2017",1445.9,1351.9,1448.7,1342.8
"May 03, 2017",1485.6,1415.8,1471.1,1394.8
"May 04, 2017",1516.8,1445.9,1496.4,1424.1
"May 05, 2017",1507.8,1485.6,1609.8,1437.1
"May 06, 2017",1545.3,1516.8,1588.1,1485
"May 07, 2017",1554.4,1507.8,1560.4,1503.9
"May 08, 2017",1664.5,1545.3,1572.9,1495.2
"May 09, 2017",1697.5,1554.4,1667.7,1552.9
"May 10, 2017",1752.3,1664.5,1757.4,1620
"May 11, 2017",1819.3,1697.5,1766.2,1665
"May 12, 2017",1686.4,1752.3,1864.8,1741.5
"May 13, 2017",1763.7,1819.3,1822.5,1641.2
"May 14, 2017",1772.6,1686.4,1770.5,1594.6
"May 15, 2017",1708.9,1763.7,1802.8,1736.1
"May 16, 2017",1729.3,1772.6,1776.7,1656.8
"May 17, 2017",1801.3,1708.9,1752.6,1653.7
"May 18, 2017",1881,1729.3,1842.8,1704
"May 19, 2017",1962,1801.3,1980.5,1791.1
"May 20, 2017",2040.2,1881,1969.7,1875.3
"May 21, 2017",2044.2,1962,2048.4,1944.4
"May 22, 2017",2124.4,2040.2,2094.9,1980.1
"May 23, 2017",2272.6,2044.2,2264.8,1998.6
"May 24, 2017",2445.3,2124.4,2286.3,2110.8
"May 25, 2017",2307.2,2272.6,2497,2263.3
"May 26, 2017",2244.9,2445.3,2781.8,2210.5
"May 27, 2017",2052.4,2307,2616.5,2051.4
"May 28, 2017",2189,2244.9,2322.4,1868.6
"May 29, 2017",2278.2,2052.4,2300.5,2051.1
"May 30, 2017",2192.6,2189,2337.4,2117.3
"May 31, 2017",2303.3,2278.2,2329.3,2147.1
"Jun 01, 2017",2412.6,2192.6,2330.6,2168.4
"Jun 02, 2017",2492.6,2303.3,2460.8,2303.3
"Jun 03, 2017",2545.4,2412.6,2494,2385.6
"Jun 04, 2017",2524.1,2492.6,2582.8,2449.9
"Jun 05, 2017",2705,2545.4,2559.8,2478.2
"Jun 06, 2017",2870.5,2524.1,2705.4,2523.9
"Jun 07, 2017",2691.5,2705,2931.2,2699.7
"Jun 08, 2017",2798.8,2870.5,2880.9,2626.6
"Jun 09, 2017",2811.4,2691.5,2808.4,2623.6
"Jun 10, 2017",2900.3,2798.8,2852.1,2786.1
"Jun 11, 2017",2973.4,2811.4,2914.2,2807.4
"Jun 12, 2017",2656.8,2900.3,2977.9,2867.3
"Jun 13, 2017",2713,2973.4,2985.1,2483.6
"Jun 14, 2017",2467.3,2656.8,2784.8,2647.4
"Jun 15, 2017",2442.5,2713,2803.7,2349
"Jun 16, 2017",2508.6,2467.3,2521.6,2125.6
"Jun 17, 2017",2655.1,2442.5,2536.4,2335.3
"Jun 18, 2017",2539.6,2508.6,2690.7,2454.8
"Jun 19, 2017",2616.8,2655.1,2676,2488.6
"Jun 20, 2017",2754.4,2539.6,2617.8,2518.8
"Jun 21, 2017",2677.6,2616.8,2800.5,2614
"Jun 22, 2017",2722.8,2754.4,2804.4,2624.4
"Jun 23, 2017",2710.4,2677.6,2757.3,2623.2
"Jun 24, 2017",2590.1,2722.8,2759.7,2699.5
"Jun 25, 2017",2541.6,2710.4,2741.6,2540.4
"Jun 26, 2017",2446.1,2590.1,2660.7,2472.4
"Jun 27, 2017",2583.8,2541.6,2584.8,2327.3
"Jun 28, 2017",2577.7,2446.1,2585.1,2309.6
"Jun 29, 2017",2558.4,2583.8,2616.9,2490.1
"Jun 30, 2017",2480.6,2577.7,2605.9,2526.5
"Jul 01, 2017",2424.6,2558.4,2576.3,2469.5
"Jul 02, 2017",2536.5,2480.6,2529.6,2387.5
"Jul 03, 2017",2572.5,2424.6,2555.3,2375.9
"Jul 04, 2017",2617.3,2536.5,2617.5,2506.3
"Jul 05, 2017",2627.9,2572.5,2658.7,2570
"Jul 06, 2017",2614.2,2617.3,2642.7,2562
"Jul 07, 2017",2513.9,2627.9,2634.8,2581.8
"Jul 08, 2017",2564.9,2614.2,2617.5,2484.7
"Jul 09, 2017",2511.4,2513.9,2568.7,2480.6
"Jul 10, 2017",2344,2564.9,2576.7,2509.6
"Jul 11, 2017",2324.3,2511.4,2530.3,2271.8
"Jul 12, 2017",2403.1,2344,2412.8,2265.5
"Jul 13, 2017",2362.4,2324.3,2424.8,2262.1
"Jul 14, 2017",2234.2,2403.1,2436.7,2335
"Jul 15, 2017",1975.1,2362.4,2370.5,2165.4
"Jul 16, 2017",1914.1,2234.2,2237.1,1974
"Jul 17, 2017",2233.4,1975.1,2044.4,1809
"Jul 18, 2017",2320.2,1914.1,2233.8,1913.8
"Jul 19, 2017",2282.6,2233.4,2400.7,2164.6
"Jul 20, 2017",2866,2320.2,2412.4,2243.1
"Jul 21, 2017",2675.1,2282.6,2932.8,2282.1
"Jul 22, 2017",2836.5,2866,2874,2622.5
"Jul 23, 2017",2756.6,2675.1,2876.7,2658.6
"Jul 24, 2017",2763.4,2836.5,2856.7,2675.6
"Jul 25, 2017",2582.6,2756.6,2798.9,2715.7
"Jul 26, 2017",2559.2,2763.4,2779.1,2472.6
"Jul 27, 2017",2691.9,2582.6,2631.7,2441.5
"Jul 28, 2017",2806.8,2559.2,2712.9,2547.7
"Jul 29, 2017",2733.5,2691.9,2843.8,2683.6
"Jul 30, 2017",2766.5,2806.8,2812.1,2699.4
"Jul 31, 2017",2883.3,2733.5,2773.1,2621.7
"Aug 01, 2017",2747,2766.5,2916.3,2723.1
"Aug 02, 2017",2720.5,2883.3,2946,2659.6
"Aug 03, 2017",2810,2747,2773.8,2668.9
"Aug 04, 2017",2878.5,2720.5,2822.9,2717.6
"Aug 05, 2017",3262.8,2810,2892.7,2779.5
"Aug 06, 2017",3232,2878.5,3344,2875.9
"Aug 07, 2017",3401.9,3262.8,3295.1,3166.5
"Aug 08, 2017",3429.4,3232,3425.1,3198.5
"Aug 09, 2017",3348.8,3401.9,3494.9,3357.1
"Aug 10, 2017",3425.7,3429.4,3437.1,3251
"Aug 11, 2017",3654.4,3348.8,3453.8,3322.9
"Aug 12, 2017",3871.6,3425.7,3706.5,3409.8
"Aug 13, 2017",4062.6,3654.4,3967.3,3611.4
"Aug 14, 2017",4327.9,3871.6,4189.4,3847.3
"Aug 15, 2017",4161.7,4062.6,4336.7,3978.9
"Aug 16, 2017",4387.4,4327.9,4436.5,3837.1
"Aug 17, 2017",4278.9,4161.7,4398.1,3938.6
"Aug 18, 2017",4105.4,4387.4,4487.5,4194.1
"Aug 19, 2017",4150.5,4278.9,4362.7,3978.3
"Aug 20, 2017",4066.6,4105.4,4189.7,3957.5
"Aug 21, 2017",4005.1,4150.5,4182.3,4034.4
"Aug 22, 2017",4089.7,4066.6,4097.3,3966.9
"Aug 23, 2017",4141.1,4005.1,4142.7,3612.2
"Aug 24, 2017",4318.4,4089.7,4255.6,4070.5
"Aug 25, 2017",4364.4,4141.1,4364.1,4111.7
"Aug 26, 2017",4352.3,4318.4,4461.7,4292.6
"Aug 27, 2017",4345.8,4364.4,4379.3,4263.3
"Aug 28, 2017",4390.3,4352.3,4408.2,4321.1
"Aug 29, 2017",4597.3,4345.8,4403.1,4195.2
"Aug 30, 2017",4583,4390.3,4647.8,4350.2
"Aug 31, 2017",4735.1,4597.3,4644.1,4491.8
"Sep 01, 2017",4921.9,4583,4765.1,4580.1
"Sep 02, 2017",4573.8,4735.1,4925.2,4690.2
"Sep 03, 2017",4612.9,4921.9,4976.5,4448.6
"Sep 04, 2017",4267.5,4573.8,4719.8,4397.7
"Sep 05, 2017",4409.1,4612.9,4621,4098.6
"Sep 06, 2017",4618.7,4267.5,4496.7,4004.6
"Sep 07, 2017",4635.6,4409.1,4660,4401.5
"Sep 08, 2017",4326.5,4618.7,4690.5,4493.2
"Sep 09, 2017",4335.1,4635.6,4699.6,4130.9
"Sep 10, 2017",4245.9,4326.5,4402.1,4185.3
"Sep 11, 2017",4217.9,4335.1,4338.1,4032.1
"Sep 12, 2017",4158.9,4245.9,4364.4,4134.6
"Sep 13, 2017",3870.3,4217.9,4387.8,4075
"Sep 14, 2017",3243.1,4158.9,4174.6,3752
"Sep 15, 2017",3713.8,3870.3,3930.7,3219
"Sep 16, 2017",3698.9,3243.1,3824.4,2979.9
"Sep 17, 2017",3689.6,3713.8,3893.7,3551.8
"Sep 18, 2017",4100.3,3698.9,3796.6,3485.8
"Sep 19, 2017",3908,3689.6,4122.8,3689
"Sep 20, 2017",3882.2,4100.3,4120.7,3852.2
"Sep 21, 2017",3617.3,3908,4053,3846.8
"Sep 22, 2017",3600.8,3882.2,3912.8,3576.5
"Sep 23, 2017",3788,3617.3,3753.5,3505.8
"Sep 24, 2017",3667.5,3600.8,3813.4,3563.2
"Sep 25, 2017",3932.8,3788,3790.9,3633.9
"Sep 26, 2017",3892.7,3667.5,3971.5,3665.7
"Sep 27, 2017",4212.2,3932.8,3982.3,3858.8
"Sep 28, 2017",4195.6,3892.7,4232.4,3882.1
"Sep 29, 2017",4172.8,4212.2,4274.6,4112.9
"Sep 30, 2017",4360.6,4195.6,4237.5,4030.4
"Oct 01, 2017",4403.1,4172.8,4383.3,4164.3
"Oct 02, 2017",4401.3,4360.6,4412.6,4258.3
"Oct 03, 2017",4314.2,4403.1,4477.4,4364.7
"Oct 04, 2017",4218.7,4401.3,4436,4230.7
"Oct 05, 2017",4321.4,4314.2,4355.3,4183.6
"Oct 06, 2017",4371.9,4218.7,4365.8,4143.4
"Oct 07, 2017",4435.8,4321.4,4422.1,4296.9
"Oct 08, 2017",4611.7,4371.9,4472.9,4319.5
"Oct 09, 2017",4777.5,4435.8,4622.9,4419.4
"Oct 10, 2017",4763.4,4611.7,4875.4,4556.1
